City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Airai,TL,-8.9266,125.4092,52.99,77,89,3.36,overcast clouds
80,Alihe,CN,50.5667,123.7167,60.98,96,0,1.99,clear sky
81,Beaufort,MY,5.3473,115.7455,74.89,89,66,2.64,broken clouds
82,Port Elizabeth,ZA,-33.918,25.5701,57.49,97,100,13.8,moderate rain
83,Butaritari,KI,3.0707,172.7902,81.72,78,98,15.73,light rain
84,Surt,LY,31.2089,16.5887,80.53,65,0,10.04,clear sky
85,Saint-Philippe,RE,-21.3585,55.7679,64.22,79,42,21.18,light rain
86,Tuatapere,NZ,-46.1333,167.6833,42.46,90,100,3.02,overcast clouds
87,Jamestown,US,42.097,-79.2353,86.95,54,0,14.97,clear sky
88,Bethel,US,41.3712,-73.414,91.36,51,0,11.5,clear sky
89,Ningyang,CN,35.7642,116.7914,76.71,70,100,7.16,light rain
90,Bolama,GW,11.5833,-15.4667,77.34,86,100,12.59,light rain
91,Norrtalje,SE,59.758,18.705,62.78,66,70,3.83,broken clouds
92,Rio Gallegos,AR,-51.6226,-69.2181,42.85,65,0,28.77,clear sky
93,Chuy,UY,-33.6971,-53.4616,51.15,75,1,5.14,clear sky
94,Camapua,BR,-19.5314,-54.0439,90.46,15,72,7.78,broken clouds
95,Vargashi,RU,55.3556,65.8467,64.78,97,100,7.47,moderate rain
96,Ushumun,RU,52.7833,126.5333,56.8,94,100,5.39,overcast clouds
97,Kapaa,US,22.0752,-159.319,82.38,74,75,18.41,broken clouds
98,Mahebourg,MU,-20.4081,57.7,70.25,68,40,21.85,scattered clouds
99,Khatanga,RU,71.9667,102.5,42.78,59,100,17.05,overcast clouds
100,San Andres,CO,12.5847,-81.7006,87.82,74,20,14.97,few clouds
101,Vardo,NO,70.3705,31.1107,53.58,100,75,3.44,broken clouds
102,Nanortalik,GL,60.1432,-45.2371,47.52,93,100,13.11,light rain
103,Luderitz,NA,-26.6481,15.1594,58.68,68,0,18.37,clear sky
104,Barrow,US,71.2906,-156.7887,46.42,66,0,9.22,clear sky
105,Tiksi,RU,71.6872,128.8694,34.07,94,98,14.27,overcast clouds
106,Yumen,CN,40.2833,97.2,70.92,31,99,11.68,overcast clouds
107,Dunedin,NZ,-45.8742,170.5036,44.02,85,98,6.8,overcast clouds
108,Faya,SA,18.3851,42.4509,66.72,54,100,4.85,heavy intensity rain
109,Chengde,CN,40.9725,117.9361,67.24,88,71,0.63,broken clouds
110,Custoias,PT,41.1053,-7.321,68.63,52,0,6.13,clear sky
111,Ust-Nera,RU,64.5667,143.2,68.31,69,45,0.58,scattered clouds
112,Kichera,RU,55.9375,110.0997,56.05,88,89,1.52,overcast clouds
113,Geraldton,AU,-28.7667,114.6,55.81,88,100,3.44,overcast clouds
114,Deputatskiy,RU,69.3,139.9,32.54,99,100,4.45,overcast clouds
115,Zhigansk,RU,66.7697,123.3711,38.53,80,86,21.52,overcast clouds
116,Georgiyevskoye,RU,58.731,45.024,55.17,91,100,12.17,overcast clouds
117,Souillac,MU,-20.5167,57.5167,70.18,68,40,21.85,light rain
118,Hastings,GB,50.8552,0.5729,81.9,61,89,18.45,light rain
119,Ranong,TH,9.9658,98.6348,79.79,88,100,6.4,overcast clouds
120,Bac Lieu,VN,9.285,105.7244,80.04,86,100,8.37,overcast clouds
121,Grants,US,35.1473,-107.8514,88.03,20,23,11.5,thunderstorm
122,Cidreira,BR,-30.1811,-50.2056,59.25,78,75,7.67,broken clouds
123,Ponta Delgada,PT,37.7333,-25.6667,70.52,83,75,5.75,broken clouds
124,Bougouni,ML,11.417,-7.479,74.46,87,100,8.05,overcast clouds
125,General Roca,AR,-39.0333,-67.5833,63.63,30,1,15.28,clear sky
126,Lagoa,PT,39.05,-27.9833,70.41,93,1,12.86,clear sky
127,San Pedro,PH,14.35,121.0167,82.35,82,40,3.44,scattered clouds
128,Talnakh,RU,69.4865,88.3972,52.21,61,19,4.81,few clouds
129,Aklavik,CA,68.2191,-135.0107,55.4,82,75,5.75,broken clouds
130,Sola,VU,-13.8833,167.55,79.83,80,28,13.89,scattered clouds
131,Hithadhoo,MV,-0.6,73.0833,80.42,74,100,10.18,overcast clouds
132,Sinnamary,GF,5.3833,-52.95,80.64,81,93,10.25,overcast clouds
133,Mezen,RU,65.8522,44.24,67.35,71,100,10.42,overcast clouds
134,Marion,US,39.7684,-86.1555,91.49,60,40,9.22,scattered clouds
135,Ponta Do Sol,PT,32.6667,-17.1,74.03,76,4,5.88,clear sky
136,Santa Fe,AR,-31.6333,-60.7,68.0,42,0,4.0,light rain
137,San Cristobal,VE,7.7669,-72.225,80.78,58,60,7.23,broken clouds
138,Kailua,US,21.4022,-157.7394,84.18,68,20,14.97,few clouds
139,Ouadda,CF,8.0777,22.4007,67.95,99,100,3.8,moderate rain
140,Sooke,CA,48.3746,-123.7276,74.71,80,6,4.61,clear sky
141,Hamilton,US,39.1834,-84.5333,91.94,58,0,9.22,clear sky
142,Santa Maria,BR,-29.6842,-53.8069,54.7,82,100,8.05,overcast clouds
143,Balkanabat,TM,39.5108,54.3671,92.44,26,0,3.27,clear sky
144,Itarema,BR,-2.9248,-39.9167,81.37,75,69,15.7,broken clouds
145,Evensk,RU,61.95,159.2333,50.77,98,100,2.62,overcast clouds
146,Salumbar,IN,24.1333,74.05,79.36,87,100,11.7,overcast clouds
147,Angoche,MZ,-16.2325,39.9086,71.24,74,0,4.07,clear sky
148,Hasaki,JP,35.7333,140.8333,77.4,95,52,5.44,light rain
149,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,83,75,4.79,broken clouds
150,Chokwe,MZ,-24.5333,32.9833,70.95,64,64,4.99,broken clouds
151,Cherskiy,RU,68.75,161.3,37.69,72,99,11.43,overcast clouds
152,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,44,20,28.77,dust
153,Ahipara,NZ,-35.1667,173.1667,56.53,92,23,5.75,few clouds
154,Mount Gambier,AU,-37.8333,140.7667,34.32,91,1,4.63,clear sky
155,Nuuk,GL,64.1835,-51.7216,50.27,75,100,9.22,overcast clouds
156,Port Hardy,CA,50.6996,-127.4199,60.98,77,75,10.36,broken clouds
157,Ayagoz,KZ,47.9714,80.4392,57.54,52,8,2.71,clear sky
158,Bundaberg,AU,-24.85,152.35,56.21,99,84,4.0,broken clouds
159,Coihaique,CL,-45.5752,-72.0662,42.75,81,75,9.22,shower rain
160,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,94,100,12.66,overcast clouds
161,Pemagatsel,BT,27.0319,91.4266,63.86,98,94,1.63,overcast clouds
162,Beringovskiy,RU,63.05,179.3167,51.58,88,100,9.57,light rain
163,Uthal,PK,25.8072,66.6219,83.97,87,100,7.78,overcast clouds
164,Kaberamaido,UG,1.7389,33.1594,68.59,82,85,2.95,light rain
165,Sibolga,ID,1.7427,98.7792,76.23,91,55,2.39,broken clouds
166,San Joaquin,US,37.9333,-121.3011,98.55,15,0,9.22,clear sky
167,Hovd,MN,48.0056,91.6419,56.5,60,90,1.68,overcast clouds
168,Quelimane,MZ,-17.8786,36.8883,71.55,94,0,3.44,clear sky
169,Novikovo,RU,51.1537,37.8879,57.38,82,49,5.97,scattered clouds
170,Gazanjyk,TM,39.2446,55.5154,90.9,15,0,7.45,clear sky
171,Tyukhtet,RU,56.5389,89.3011,52.12,97,100,7.02,overcast clouds
172,Bonavista,CA,48.6499,-53.1147,65.73,85,100,14.34,light rain
173,Olafsvik,IS,64.8945,-23.7142,53.01,76,90,11.41,overcast clouds
174,Cockburn Town,TC,21.4612,-71.1419,82.2,75,0,18.32,clear sky
175,Ust-Kuyga,RU,70.0167,135.6,37.87,92,100,13.58,overcast clouds
176,Muroto,JP,33.2833,134.15,78.19,91,95,7.54,overcast clouds
177,West Wendover,US,40.7391,-114.0733,87.01,23,75,3.44,broken clouds
178,Chama,CH,47.1821,8.4636,84.36,61,57,0.0,broken clouds
179,East London,ZA,-33.0153,27.9116,65.73,84,10,14.27,clear sky
180,Nago,JP,26.5881,127.9761,84.63,88,100,11.43,overcast clouds
181,Bow Island,CA,49.8668,-111.3684,78.98,50,0,10.36,clear sky
182,Katobu,ID,-4.9408,122.5276,73.9,94,100,4.72,overcast clouds
183,Tasiilaq,GL,65.6145,-37.6368,41.16,81,43,0.47,scattered clouds
184,Nazira,IN,26.9167,94.7333,76.75,97,100,2.24,overcast clouds
185,Morro Bay,US,35.3658,-120.8499,103.93,46,22,10.0,few clouds
186,Lafia,NG,8.4833,8.5167,75.6,84,93,4.72,light rain
187,Batagay,RU,67.6333,134.6333,44.46,85,100,6.33,overcast clouds
188,Turukhansk,RU,65.8167,87.9833,49.23,69,98,8.84,overcast clouds
189,Antalya,TR,36.7741,30.7178,86.59,39,0,5.75,clear sky
190,Stornoway,GB,58.2093,-6.3865,58.03,83,75,6.91,broken clouds
191,Sharan,RU,54.8167,54.0,57.69,96,38,7.36,scattered clouds
192,Henties Bay,NA,-22.116,14.2845,56.25,88,0,11.36,clear sky
193,Sur,OM,22.5667,59.5289,85.03,80,98,9.33,overcast clouds
194,Beloha,MG,-25.1667,45.05,66.52,53,0,13.11,clear sky
195,Dakar,SN,14.6937,-17.4441,86.13,74,75,11.5,broken clouds
196,Hami,CN,42.8,93.45,77.83,28,93,13.24,overcast clouds
197,Ormond Beach,US,29.2858,-81.0559,82.63,78,100,24.16,moderate rain
198,Cadiz,ES,36.5,-5.75,80.02,32,0,3.33,clear sky
199,Abu Dhabi,AE,24.4667,54.3667,100.51,49,0,6.91,clear sky
200,Dingle,PH,10.9995,122.6711,76.62,90,93,2.33,overcast clouds
201,Vao,NC,-22.6667,167.4833,73.87,88,99,17.47,moderate rain
202,Tochigi,JP,36.3833,139.7333,74.93,94,83,2.26,broken clouds
203,Bubaque,GW,11.2833,-15.8333,78.26,86,100,15.52,light rain
204,Laguna,US,38.421,-121.4238,102.31,26,1,8.68,clear sky
205,Marawi,PH,7.9986,124.2928,68.47,94,95,2.59,overcast clouds
206,Sangar,RU,63.9242,127.4739,65.05,74,95,4.88,overcast clouds
207,Hofn,IS,64.2539,-15.2082,50.02,93,100,5.75,mist
208,Sorong,ID,-0.8833,131.25,76.6,89,100,9.73,light rain
209,Tazovskiy,RU,67.4667,78.7,50.63,71,30,11.7,scattered clouds
210,Blankenberge,BE,51.3131,3.1323,91.38,19,0,12.26,clear sky
211,Gazojak,TM,41.1875,61.4036,91.18,20,0,13.76,clear sky
212,Babushkin,RU,51.7122,105.8647,52.18,98,100,18.16,overcast clouds
213,Kedrovyy,RU,56.1667,91.8167,55.87,99,86,7.67,overcast clouds
214,Orebro,SE,59.2741,15.2066,69.98,38,0,4.61,clear sky
215,Yaan,NG,7.3833,8.5667,74.71,80,83,5.59,broken clouds
216,Nelson,NZ,-41.2833,173.2833,51.3,99,56,1.01,broken clouds
217,Ormara,PK,25.2088,64.6357,83.89,88,98,10.89,overcast clouds
218,Vila Velha,BR,-20.3297,-40.2925,76.95,85,40,12.66,scattered clouds
219,Piltene,LV,57.2243,21.6744,64.35,94,40,5.75,scattered clouds
220,Maldonado,UY,-34.6667,-54.9167,59.23,65,0,6.71,clear sky
221,Tessalit,ML,20.1986,1.0114,90.91,34,90,8.41,light rain
222,Sungaipenuh,ID,-2.0833,101.3833,63.0,90,96,1.66,moderate rain
223,Skjervoy,NO,70.0311,20.9714,51.8,91,20,1.9,few clouds
224,Klaksvik,FO,62.2266,-6.589,52.72,91,100,11.9,overcast clouds
225,Kulim,MY,5.365,100.5618,79.5,93,100,3.02,overcast clouds
226,Saint Anthony,US,45.0205,-93.218,90.25,46,75,23.02,broken clouds
227,Provideniya,RU,64.3833,-173.3,46.0,68,98,1.88,overcast clouds
228,Phek,IN,25.6667,94.5,62.08,99,100,0.92,overcast clouds
229,Omboue,GA,-1.5746,9.2618,72.43,86,100,6.89,overcast clouds
230,Ushibuka,JP,32.1906,130.0228,79.79,91,100,11.59,overcast clouds
